tylko_moje, tylko_Tomka, srednia, fallback
9.768284689905407, 2.932, 4.338485072902489, 9.448284689905414
8.864199887147475, 2.497, 4.003474993593856, 8.48219988714748
9.023524361331337, 2.2104444444444464, 3.978928897320081, 8.58374658355356
9.086959751872142, 2.142, 4.006815154206919, 8.641584751872136
9.062481469686732, 2.0870399999999996, 4.015111846940219, 8.586241469686732
8.995393671290698, 2.0632777777777824, 3.9770328090964595, 8.516838115735146
8.903415257532487, 2.0470612244897946, 3.959603500561391, 8.424517298348817
8.810932587190779, 2.05609375, 3.9441760862754625, 8.350307587190777
8.683305915515346, 2.0714074074074103, 3.9367065628520104, 8.234096038972142
8.497783122948803, 2.1124399999999985, 3.9171370756613757, 8.064503122948805
8.321422339578167, 2.115239669421492, 3.8793304533707813, 7.888166141231056
8.152366688432776, 2.0889583333333355, 3.81766951574953, 7.713977799543885
7.994195907520595, 2.095905325443782, 3.791233505749684, 7.548728451899295
7.837963621478665, 2.095938775510203, 3.7454750596449737, 7.384177907192953
7.687387456468223, 2.094257777777774, 3.7012309244696606, 7.232960789801558
7.551985126792698, 2.10746875, 3.6675343730673715, 7.102242939292697
7.437677826360266, 2.1011833910034587, 3.6358312272316318, 6.9854909751491965
7.333562260713272, 2.1210246913580266, 3.625675738285719, 6.888846211330555
7.236314866320132, 2.131108033240997, 3.601804127042289, 6.791278855239802
7.147190246395982, 2.150535000000002, 3.585808635751488, 6.708320246395982
7.054596569950942, 2.1642131519274352, 3.5630069305481964, 6.621009268363644
6.961764007244225, 2.1832644628099183, 3.5481196681643277, 6.529458222120256
6.875472521129633, 2.202109640831758, 3.5333610825104405, 6.446943220562525
6.7895220886791305, 2.2054062500000016, 3.509963296689128, 6.358296394234686
6.712381223200295, 2.2079936000000004, 3.486935608939674, 6.276531623200298
6.636050040648086, 2.2129674556212997, 3.469467914925558, 6.197822229997196
6.5649180347784535, 2.2196159122085026, 3.4501539093379763, 6.127121052611104
6.501055789027037, 2.2193418367346918, 3.4340493065022057, 6.068180789027035
6.44382967045254, 2.2045636147443513, 3.4147158504659925, 6.007520514685597
6.380837761010832, 2.211402222222223, 3.399851971959167, 5.946755538788613
6.325348953067782, 2.210649323621227, 3.380528183805698, 5.890422834441353
6.273604129812766, 2.218181640625, 3.3706190432789644, 5.837152957937766
6.2186568172560985, 2.2183489439853084, 3.3553858134993866, 5.779626514225802
6.165589662406904, 2.2310432525951556, 3.3472676525796663, 5.7271813579086395
6.106202893859662, 2.233529795918369, 3.3313800095462214, 5.667796363247416
6.046826449006291, 2.2487762345679023, 3.3198697224585474, 5.611653609500121
5.991693803900628, 2.2510854638422204, 3.3060747274308553, 5.555966996011654
5.934459221362108, 2.256117728531857, 3.2907609613832802, 5.499459221362113
5.884534329863845, 2.259798816568044, 3.2803950337958625, 5.451929464643597
5.833265485358523, 2.2678900000000013, 3.2705386031744688, 5.400134235358529
5.781822281738013, 2.2734324806662687, 3.25957958816173, 5.34800550600928
5.730553442665414, 2.28139569160998, 3.2494936875739726, 5.2990545764522645
5.677903094284361, 2.2831865873445087, 3.2354842799727823, 5.246950146745149
5.629896799961743, 2.2769338842975198, 3.217162386134119, 5.200752171862573
5.579919150632202, 2.2796118518518536, 3.2028350451412977, 5.154408039521091
5.536761894978832, 2.2727722117202296, 3.1861163178933922, 5.114021819364465
5.491907052068097, 2.27562426437302, 3.177146471022024, 5.0688522761513894
5.448618831515219, 2.284036458333334, 3.1677862432680826, 5.02832369262633
5.4090635325992364, 2.289456059975009, 3.158722264411098, 4.990184732099447
5.368569289541392, 2.2999656000000006, 3.1500862515187054, 4.952759689541393
5.3272251756123605, 2.305995386389851, 3.139830473407478, 4.912318601217897
5.288441223056931, 2.3041752958579886, 3.1275536570779856, 4.872333234891254
5.250546480941265, 2.3058996084015675, 3.117514869071887, 4.835403013515133
5.21549943217361, 2.3135068587105616, 3.1121490991106033, 4.8029452483601665
5.177957064998531, 2.3137064462809946, 3.1002668470886623, 4.76457194103159
5.1407607799631405, 2.313134566326531, 3.0898996666026908, 4.728301596289673
5.10688100521869, 2.3178220991074183, 3.082115656527474, 4.694996733134974
5.074968919458462, 2.3177984542211636, 3.072858179729597, 4.660653818388311
5.043934045221401, 2.318394139615053, 3.064747663658306, 4.631139445968308
5.010197829475915, 2.3150466666666665, 3.0518166710366015, 4.596756162809251
4.977971426378642, 2.3169266326256404, 3.042264792190905, 4.565290426647387
4.947847730963418, 2.31676638917794, 3.032838101097699, 4.535040238767786
4.916588229606233, 2.319365079365077, 3.0235725503419943, 4.504287398162545
4.885456369529979, 2.32646240234375, 3.016719902427546, 4.474264474998726
4.8531762266200325, 2.3328615384615383, 3.0087389946442347, 4.443417646738375
4.822972121498353, 2.337292470156104, 3.0002654866466574, 4.41454007374812
4.799518416674942, 2.346620628202274, 2.9985466819291697, 4.3934480223777745
4.774848562106061, 2.3511228373702413, 2.992979725940461, 4.370919063836166
4.749757236209336, 2.354627599243854, 2.985872757840545, 4.347264062506337
4.723093514487225, 2.3571730612244894, 2.9782599273721266, 4.320980453262741
4.698507288476258, 2.3586760563380285, 2.9719359535366197, 4.298395405913276
4.671842076006203, 2.36298263888889, 2.9650601891441064, 4.273274946376576
4.645993738765963, 2.3666965659598462, 2.9587109597037737, 4.245618809135635
4.621045704726623, 2.3742286340394454, 2.9545666348130517, 4.221502607575421
4.6001428316113735, 2.3746229333333346, 2.9475088467901123, 4.200761498278038
4.577082305540686, 2.3805692520775645, 2.9424449720529555, 4.179381474515757
4.554774774954859, 2.3857331759149956, 2.9374591266607646, 4.158392585715526
4.533066404519343, 2.384868836291915, 2.9287114558740046, 4.137172913395079
4.514123006675938, 2.389273834321424, 2.9246742850591003, 4.117881058270232
4.495822908954809, 2.3897315624999993, 2.9195900728680986, 4.098874471454808
4.478680183582974, 2.3920771223898813, 2.9155335996066136, 4.082158616748649
4.458579163181897, 2.3899970255800134, 2.906880148525517, 4.061895046584635
4.439334105754676, 2.389916678763247, 2.900753061419516, 4.043272558360279
4.423224084107303, 2.39525992063492, 2.898163140613337, 4.028284741703673
4.407842513756093, 2.397529411764707, 2.894895952197205, 4.013465766351248
4.3918383040434525, 2.4030457003785837, 2.892719558000491, 3.997299093659463
