MALid, booru_name, confidence
15, eyeshield_21, 0.04108681245858184
17, death_note, 0.011928429423459244
18, initial_d, 0.02186878727634195
19, monster_(manga), 0.08349900596421471
21, one_piece, 0.6023856858846919
22, tennis_no_ouji-sama, 0.06428098078197482
23, death_note, 0.008614976805831677
24, school_rumble, 0.038436050364479786
25, death_note, 0.013916500994035786
26, texhnolyze, 0.015904572564612324
27, trinity_blood, 0.027170311464546057
28, yakitate!!_japan, 0.051027170311464545
29, death_note, 0.010603048376408217
30, neon_genesis_evangelion, 0.017229953611663355
31, neon_genesis_evangelion, 0.015904572564612324
32, neon_genesis_evangelion, 0.013916500994035786
33, berserk, 0.023194168323392977
43, ghost_in_the_shell, 0.012591119946984758
45, rurouni_kenshin, 0.053015241882041084
46, rurouni_kenshin, 0.012591119946984758
47, akira, 0.019880715705765408
48, .hack__, 0.0145791915175613
49, megami, 0.009940357852882704
50, megami, 0.015904572564612324
51, angel_sanctuary, 0.012591119946984758
52, angelic_layer, 0.019218025182239893
53, ai_yori_aoshi, 0.01126573889993373
54, appleseed, 0.015904572564612324
55, arc_the_lad_ii, 0.00927766732935719
56, death_note, 0.009940357852882704
57, death_note, 0.019218025182239893
58, death_note, 0.009940357852882704
59, chobits, 0.015241882041086813
60, chrono_crusade, 0.015904572564612324
61, dnangel, 0.021206096752816435
62, da_capo, 0.01126573889993373
63, death_note, 0.01855533465871438
66, azumanga_daiou, 0.01656726308813784
67, basilisk_(manga), 0.02186878727634195
69, death_note, 0.009940357852882704
71, full_metal_panic!, 0.01656726308813784
72, full_metal_panic!, 0.019880715705765408
73, full_metal_panic!, 0.01855533465871438
74, gundam, 0.02054340622929092
75, soukyuu_no_fafner, 0.031146454605699137
76, mahou_shoujo_lyrical_nanoha, 0.015904572564612324
77, lyrical_nanoha, 0.023194168323392977
79, shuffle!, 0.015904572564612324
80, gundam, 0.0728959575878065
81, gundam, 0.026507620941020542
82, gundam, 0.017892644135188866
83, gundam, 0.01656726308813784
84, gundam, 0.03578528827037773
85, gundam, 0.04108681245858184
86, gundam, 0.0583167660702452
87, gundam, 0.0145791915175613
88, gundam, 0.028495692511597084
89, gundam, 0.06428098078197482
90, gundam, 0.043074884029158385
91, gundam, 0.017892644135188866
92, gundam, 0.04042412193505633
93, gundam, 0.041749502982107355
94, gundam, 0.04042412193505633
95, gundam, 0.04440026507620941
96, gundam, 0.03512259774685222
97, last_exile, 0.031146454605699137
98, my-hime, 0.02054340622929092
101, air, 0.02385685884691849
103, akazukin_chacha, 0.025182239893969515
104, death_note, 0.013253810470510271
105, death_note, 0.015241882041086813
106, death_note, 0.012591119946984758
107, jing_king_of_bandits, 0.0145791915175613
108, jing_king_of_bandits, 0.004638833664678595
109, bakuretsu_tenshi, 0.01656726308813784
110, death_note, 0.008614976805831677
111, corrector_yui, 0.017892644135188866
112, death_note, 0.0066269052352551355
113, uchuu_no_stellvia, 0.031146454605699137
114, death_note, 0.02253147779986746
115, el_hazard, 0.011928429423459244
116, el_hazard, 0.010603048376408217
117, el_hazard, 0.01126573889993373
118, el_hazard, 0.01126573889993373
119, final_approach, 0.007952286282306162
120, fruits_basket, 0.021206096752816435
121, fullmetal_alchemist, 0.053015241882041084
122, full_moon_wo_sagashite, 0.0145791915175613
123, fushigi_yuugi, 0.025182239893969515
124, fushigi_yuugi, 0.013916500994035786
125, futakoi, 0.012591119946984758
126, futakoi, 0.013253810470510271
127, death_note, 0.0145791915175613
128, death_note, 0.00927766732935719
129, saiyuki, 0.017892644135188866
130, saiyuki, 0.0145791915175613
131, saiyuki, 0.013916500994035786
132, getbackers, 0.027170311464546057
133, green_green, 0.012591119946984758
134, gunslinger_girl, 0.019218025182239893
135, hikaru_no_go, 0.02253147779986746
136, hunter_x_hunter, 0.06759443339960239
137, hunter_x_hunter, 0.01855533465871438
138, hunter_x_hunter, 0.02253147779986746
139, hunter_x_hunter, 0.03512259774685222
141, jinki, 0.012591119946984758
142, kamikaze_kaitou_jeanne, 0.011928429423459244
143, kannazuki_no_miko, 0.013253810470510271
144, kanon, 0.011928429423459244
145, kareshi_kanojo_no_jijou, 0.015241882041086813
146, kono_minikuku_mo_utsukushii_sekai, 0.011928429423459244
147, kimi_ga_nozomu_eien, 0.013253810470510271
148, kita_e, 0.008614976805831677
149, loveless, 0.01656726308813784
150, blood+, 0.027833001988071572
151, re:_cutie_honey, 0.009940357852882704
152, solty_rei, 0.015241882041086813
153, juuni_kokuki, 0.04042412193505633
154, shaman_king, 0.04837640821736249
155, x_(manga), 0.01656726308813784
156, x_(manga), 0.01855533465871438
157, mahou_sensei_negima!, 0.03578528827037773
158, maria-sama_ga_miteru, 0.019880715705765408
159, death_note, 0.017892644135188866
160, ima_soko_ni_iru_boku, 0.013253810470510271
161, hakuouki_shinsengumi_kitan, 0.015904572564612324
162, pita_ten, 0.009940357852882704
163, power_stone, 0.010603048376408217
164, mononoke_hime, 0.012591119946984758
165, rahxephon, 0.01656726308813784
166, samurai_7, 0.019218025182239893
167, scrapped_princess, 0.019880715705765408
168, scryed, 0.01855533465871438
169, tsukihime, 0.010603048376408217
170, slam_dunk, 0.05765407554671968
171, death_note, 0.0145791915175613
173, tactics, 0.01855533465871438
174, tenjou_tenge, 0.024519549370444003
175, death_note, 0.008614976805831677
176, triangle_heart, 0.01126573889993373
177, tsubasa_chronicle, 0.03313452617627568
178, harvest_moon, 0.01126573889993373
179, death_note, 0.005964214711729622
180, vandread, 0.013253810470510271
181, vandread, 0.013916500994035786
182, tenkuu_no_escaflowne, 0.0390987408880053
